id,video_file,task,frame,scene,action,prompt,action_review,note
7,007_unitree_g1dex1_wipe_table_ep0.mp4,Wipe the water off the table with a rag.,007_unitree_g1dex1_wipe_table_ep0_frame10_720p.jpg,"A beige-colored table surface occupies most of the scene with a blue cloth on its right side. The table is smooth and flat, with a noticeable smear of liquid near its center. The robot has two arms, both positioned over the table. The left arm is closer to the center of the table, while the right arm is near the blue cloth. The cloth appears textured and absorbent, and the table surface is partially wet.",The robot wipes the cloth across the table surface.,"Scene: A beige-colored table surface occupies most of the scene with a blue cloth on its right side. The table is smooth and flat, with a noticeable smear of liquid near its center. The robot has two arms, both positioned over the table. The left arm is closer to the center of the table, while the right arm is near the blue cloth. The cloth appears textured and absorbent, and the table surface is partially wet.
Action: The robot wipes the cloth across the table surface.",,
8,008_unitree_g1dex1_wipe_table_ep100.mp4,Wipe the water off the table with a rag.,008_unitree_g1dex1_wipe_table_ep100_frame1_720p.jpg,"A tabletop surface is visible, appearing smooth and light in color. On the right side of the table, there is a folded blue and white rag that looks textured and absorbent. Near the center of the table, there are small, scattered drops of water. Two robotic arms are positioned at the sides, with the left one closer to the center and the right one nearer to the rag. The table surface is smooth and the cloth is likely absorbent.",The robot wipes the cloth across the table surface.,"Scene: A tabletop surface is visible, appearing smooth and light in color. On the right side of the table, there is a folded blue and white rag that looks textured and absorbent. Near the center of the table, there are small, scattered drops of water. Two robotic arms are positioned at the sides, with the left one closer to the center and the right one nearer to the rag. The table surface is smooth and the cloth is likely absorbent.
Action: The robot wipes the cloth across the table surface.",,
9,009_unitree_g1dex1_wipe_table_ep199.mp4,Wipe the water off the table with a rag.,009_unitree_g1dex1_wipe_table_ep199_frame0_720p.jpg,"A beige table is in front of the robot with visible water droplets scattered across its surface. To the right of the droplets, there is a blue and white cloth that appears thick and absorbent. The robot has two metallic arms positioned at opposite sides of the table. The left arm hovers near the center while the right arm is positioned close to the cloth. The table's surface is smooth and wet, and the cloth looks textured and capable of absorbing liquid.",The robot wipes the cloth across the table surface.,"Scene: A beige table is in front of the robot with visible water droplets scattered across its surface. To the right of the droplets, there is a blue and white cloth that appears thick and absorbent. The robot has two metallic arms positioned at opposite sides of the table. The left arm hovers near the center while the right arm is positioned close to the cloth. The table's surface is smooth and wet, and the cloth looks textured and capable of absorbing liquid.
Action: The robot wipes the cloth across the table surface.",,
10,010_unitree_g1dex1_syringe_water_transfer_ep0.mp4,Syringe water transfer,010_unitree_g1dex1_syringe_water_transfer_ep0_frame0_720p.jpg,"A wooden table holds several items, including a translucent plastic cup filled with red liquid, a large clear syringe, a pair of blue-handled scissors, and a white plastic basket. The cup is positioned near the center of the table, with the syringe lying nearby to its right. Two robotic arms are visible, with one arm on the left side of the table and the other on the right side, positioned near the syringe. The table surface is smooth and dry.",The robot grips the syringe and maneuvers it to draw liquid from the cup.,"Scene: A wooden table holds several items, including a translucent plastic cup filled with red liquid, a large clear syringe, a pair of blue-handled scissors, and a white plastic basket. The cup is positioned near the center of the table, with the syringe lying nearby to its right. Two robotic arms are visible, with one arm on the left side of the table and the other on the right side, positioned near the syringe. The table surface is smooth and dry.
Action: The robot grips the syringe and maneuvers it to draw liquid from the cup.",,
11,011_unitree_g1dex1_syringe_water_transfer_ep516.mp4,Syringe water transfer,011_unitree_g1dex1_syringe_water_transfer_ep516_frame0_720p.jpg,"A white tabletop holds two transparent plastic containers, each partially filled with red liquid. A syringe with an orange plunger lies nearby, alongside some plastic and paper packaging. To the left, a robot arm equipped with a black gripper hovers near the containers, while another arm with a similar gripper is positioned near the syringe on the right. The containers are smooth and the liquid is likely water with food coloring.",The robot places the syringe into one of the containers and draws liquid into the syringe.,"Scene: A white tabletop holds two transparent plastic containers, each partially filled with red liquid. A syringe with an orange plunger lies nearby, alongside some plastic and paper packaging. To the left, a robot arm equipped with a black gripper hovers near the containers, while another arm with a similar gripper is positioned near the syringe on the right. The containers are smooth and the liquid is likely water with food coloring.
Action: The robot places the syringe into one of the containers and draws liquid into the syringe.",,
12,012_unitree_g1dex1_syringe_water_transfer_ep1033.mp4,Syringe water transfer,012_unitree_g1dex1_syringe_water_transfer_ep1033_frame0_720p.jpg,"A white table holds a clear plastic cup filled with red liquid, approximately halfway full, positioned near the center. A large, transparent syringe is placed to the right of the cup on the table. A brown paper bag and a small potted plant are situated in the background near the window. Two robotic arms are positioned on either side of the table; the left arm is adjacent to the cup, while the right arm is near the syringe. The syringes and the surfaces appear dry and smooth, suitable for handling liquids.",The robot uses a syringe to draw water from the plastic cup.,"Scene: A white table holds a clear plastic cup filled with red liquid, approximately halfway full, positioned near the center. A large, transparent syringe is placed to the right of the cup on the table. A brown paper bag and a small potted plant are situated in the background near the window. Two robotic arms are positioned on either side of the table; the left arm is adjacent to the cup, while the right arm is near the syringe. The syringes and the surfaces appear dry and smooth, suitable for handling liquids.
Action: The robot uses a syringe to draw water from the plastic cup.",,
14,014_unitree_g1edu_u3_pour_drink_ep648.mp4,"Grasp the cup under the faucet to collect the drink, then remove the cup.",014_unitree_g1edu_u3_pour_drink_ep648_frame0_720p.jpg,"A robot with two humanoid arms is positioned in front of a dispenser. The dispenser is metallic and shiny, mounted on a smooth metal drip tray. A transparent plastic cup is held in one robotic hand, positioned below the dispenser nozzle. The other hand is steady near the tray. The metal surface of the dispenser and tray is reflective and dry.","The robot moves the cup toward the dispenser nozzle, holds it there, and then moves it away.","Scene: A robot with two humanoid arms is positioned in front of a dispenser. The dispenser is metallic and shiny, mounted on a smooth metal drip tray. A transparent plastic cup is held in one robotic hand, positioned below the dispenser nozzle. The other hand is steady near the tray. The metal surface of the dispenser and tray is reflective and dry.
Action: The robot moves the cup toward the dispenser nozzle, holds it there, and then moves it away.",,
15,015_unitree_g1edu_u3_pour_drink_ep1297.mp4,"Grasp the cup under the faucet to collect the drink, then remove the cup.",015_unitree_g1edu_u3_pour_drink_ep1297_frame0_720p.jpg,"A transparent plastic cup is held by a robot's left gripper in front of a shiny metal drink dispenser. The dispenser has an orange liquid visible inside a clear container above a metal tap. The robot's right gripper is open and positioned near the cup, facing forward. The surface of the metal base and the area around the tap are dry and reflective.",The robot positions the cup under the dispenser tap with one arm and brings it back after collecting the drink.,"Scene: A transparent plastic cup is held by a robot's left gripper in front of a shiny metal drink dispenser. The dispenser has an orange liquid visible inside a clear container above a metal tap. The robot's right gripper is open and positioned near the cup, facing forward. The surface of the metal base and the area around the tap are dry and reflective.
Action: The robot positions the cup under the dispenser tap with one arm and brings it back after collecting the drink.",,
16,016_ai2_alphabot_2_pour_water_ep0.mp4,Grasp the thermos with one hand and pour water into the cup lid.,016_ai2_alphabot_2_pour_water_ep0_frame0_720p.jpg,"A white thermos is positioned vertically on a flat, white surface. To the left of the thermos sits a pink cup lid, approximately half the height of the thermos. Two robotic arms are situated on either side of these objects, with the left arm closer to the cup lid and the right arm near the thermos. The thermos has a smooth, dry surface, and the cup lid is empty.","The robot grasps the thermos with one hand, lifts it, and tips it over the cup lid.","Scene: A white thermos is positioned vertically on a flat, white surface. To the left of the thermos sits a pink cup lid, approximately half the height of the thermos. Two robotic arms are situated on either side of these objects, with the left arm closer to the cup lid and the right arm near the thermos. The thermos has a smooth, dry surface, and the cup lid is empty.
Action: The robot grasps the thermos with one hand, lifts it, and tips it over the cup lid.",,
17,017_ai2_alphabot_2_shake_bottle_ep0.mp4,"Grasp the erlenmeyer flask, shake it three times, then place it back.",017_ai2_alphabot_2_shake_bottle_ep0_frame0_720p.jpg,"On a black table, there is a transparent glass Erlenmeyer flask in the center, approximately 10 cm tall. To the right of the flask are several test tubes in a rack made of clear plastic. A metallic robot arm is positioned near the right side of the flask, with its grippers open and slightly above the flask. Another beaker and a pipette are visible in the background on the left side. The flask appears to have a small amount of liquid inside, and its surface is smooth and dry.","The robot grasps the flask, lifts it, shakes it three times, and places it back down on the table.","Scene: On a black table, there is a transparent glass Erlenmeyer flask in the center, approximately 10 cm tall. To the right of the flask are several test tubes in a rack made of clear plastic. A metallic robot arm is positioned near the right side of the flask, with its grippers open and slightly above the flask. Another beaker and a pipette are visible in the background on the left side. The flask appears to have a small amount of liquid inside, and its surface is smooth and dry.
Action: The robot grasps the flask, lifts it, shakes it three times, and places it back down on the table.",,
18,018_ai2_alphabot_2_shake_bottle_ep393.mp4,"Grasp the erlenmeyer flask, shake it three times, then place it back.",018_ai2_alphabot_2_shake_bottle_ep393_frame0_720p.jpg,"A clear glass Erlenmeyer flask, approximately 15 cm tall, is positioned at the center of a black tabletop. To the left is a large clear beaker and a blue and silver apparatus. Towards the back are six thin glass test tubes in a holder, adjacent to a clear plastic rack. A light pink block sits nearby. Two robotic arms, metallic with gripping claws, are positioned on either side of the table, close to the flask. All surfaces appear dry and the glass is smooth and empty.","The robot grips the Erlenmeyer flask, lifts it slightly, shakes it three times, and then sets it down.","Scene: A clear glass Erlenmeyer flask, approximately 15 cm tall, is positioned at the center of a black tabletop. To the left is a large clear beaker and a blue and silver apparatus. Towards the back are six thin glass test tubes in a holder, adjacent to a clear plastic rack. A light pink block sits nearby. Two robotic arms, metallic with gripping claws, are positioned on either side of the table, close to the flask. All surfaces appear dry and the glass is smooth and empty.
Action: The robot grips the Erlenmeyer flask, lifts it slightly, shakes it three times, and then sets it down.",,
19,019_agibot_task410_water_pouring_ep0.mp4,Water Pouring in Restaurant - teapot with colored tea into an empty cup,019_agibot_task410_water_pouring_ep0_frame0_720p.jpg,"A rectangular wooden table holds a clear glass teapot and an empty glass cup. The teapot, filled with a dark liquid, has a metal lid and a textured surface pattern. The glass cup is cylindrical and positioned in front of the teapot. Two robotic arms, one on each side of the cup, are poised near the objects. The surface of the table is smooth and dry, and the teapot is full.","The robot lifts the teapot, angles it over the cup, and begins pouring.","Scene: A rectangular wooden table holds a clear glass teapot and an empty glass cup. The teapot, filled with a dark liquid, has a metal lid and a textured surface pattern. The glass cup is cylindrical and positioned in front of the teapot. Two robotic arms, one on each side of the cup, are poised near the objects. The surface of the table is smooth and dry, and the teapot is full.
Action: The robot lifts the teapot, angles it over the cup, and begins pouring.",,
21,021_aloha_mobile_wash_pan_ep0.mp4,"Pick up the pan, rinse it in the sink and then place it in the drying rack.",021_aloha_mobile_wash_pan_ep0_frame522_720p.jpg,"A large, rectangular, stainless steel sink is positioned in the center of a white countertop. Adjacent to the sink, a metallic faucet is mounted vertically, with a sleek, shiny appearance. A robotic arm, black with multiple joints and a gripper, is holding a white pan over the left basin of the sink. The countertop surface is smooth and dry, and no water is present at the moment.","The robot moves the pan under the faucet, activates the water, and moves the pan to a position on the countertop.","Scene: A large, rectangular, stainless steel sink is positioned in the center of a white countertop. Adjacent to the sink, a metallic faucet is mounted vertically, with a sleek, shiny appearance. A robotic arm, black with multiple joints and a gripper, is holding a white pan over the left basin of the sink. The countertop surface is smooth and dry, and no water is present at the moment.
Action: The robot moves the pan under the faucet, activates the water, and moves the pan to a position on the countertop.",,
22,022_aloha_mobile_wipe_wine_ep0.mp4,Pick up the wet cloth and clean the spilled wine on the table.,022_aloha_mobile_wipe_wine_ep0_frame1190_720p.jpg,"A white countertop is situated at waist height. On the counter, a tall wine glass with a reddish liquid occupies the left side, next to a metallic mug and two polka-dotted plates. Several pieces of paper rest nearby. Two robotic arms are positioned over the table, one holding a patterned cloth. The cloth appears textured and absorbent, and the table surface is smooth.",The robot wipes the cloth across the surface of the table.,"Scene: A white countertop is situated at waist height. On the counter, a tall wine glass with a reddish liquid occupies the left side, next to a metallic mug and two polka-dotted plates. Several pieces of paper rest nearby. Two robotic arms are positioned over the table, one holding a patterned cloth. The cloth appears textured and absorbent, and the table surface is smooth.
Action: The robot wipes the cloth across the surface of the table.",,
25,025_humanoid_everyday_fold_towel_ep4838.mp4,deformable/fold_towel,025_humanoid_everyday_fold_towel_ep4838_frame124_720p.jpg,"A rectangular white table holds a medium-sized, light-colored towel with a black grid pattern. The towel is laid out flat in the center of the table. A robotic gripper, made of black metal and equipped with multiple fingers, is positioned to the left of the towel, slightly above the table surface. The table and towel are dry, with the towel appearing to be absorbent and textured.",The robot grips the edges of the towel and performs a folding motion.,"Scene: A rectangular white table holds a medium-sized, light-colored towel with a black grid pattern. The towel is laid out flat in the center of the table. A robotic gripper, made of black metal and equipped with multiple fingers, is positioned to the left of the towel, slightly above the table surface. The table and towel are dry, with the towel appearing to be absorbent and textured.
Action: The robot grips the edges of the towel and performs a folding motion.",,
26,026_humanoid_everyday_fold_towel_ep4839.mp4,deformable/fold_towel,026_humanoid_everyday_fold_towel_ep4839_frame103_720p.jpg,"A white, rectangular table holds a light-colored towel with a black grid pattern. The towel is roughly rectangular and laid flat on the table. One robotic arm, positioned at the left side of the towel, has black and metallic components and is extended toward the towel. The towel's surface appears smooth and its fabric looks soft and flexible.",The robot lifts the towel by its edges and folds it.,"Scene: A white, rectangular table holds a light-colored towel with a black grid pattern. The towel is roughly rectangular and laid flat on the table. One robotic arm, positioned at the left side of the towel, has black and metallic components and is extended toward the towel. The towel's surface appears smooth and its fabric looks soft and flexible.
Action: The robot lifts the towel by its edges and folds it.",,
27,027_humanoid_everyday_squeeze_a_ball_ep5118.mp4,deformable/squeeze_a_ball,027_humanoid_everyday_squeeze_a_ball_ep5118_frame0_720p.jpg,"A yellow and red foam ball sits on a white tabletop. To the right of the ball is a black rectangular object, possibly a tray or mat. The table surface appears smooth and dry, with a transparent sheet covering part of it on the left. Two robotic arms are positioned below and slightly to the front of the tabletop, with one closer to the foam ball. The foam ball's squeezable texture is important for the upcoming action.",The robot squeezes the foam ball with one of its hands.,"Scene: A yellow and red foam ball sits on a white tabletop. To the right of the ball is a black rectangular object, possibly a tray or mat. The table surface appears smooth and dry, with a transparent sheet covering part of it on the left. Two robotic arms are positioned below and slightly to the front of the tabletop, with one closer to the foam ball. The foam ball's squeezable texture is important for the upcoming action.
Action: The robot squeezes the foam ball with one of its hands.",,
28,028_humanoid_everyday_squeeze_a_toy_ep5158.mp4,deformable/squeeze_a_toy,028_humanoid_everyday_squeeze_a_toy_ep5158_frame0_720p.jpg,"A white table surface holds a round, beige, soft-looking toy on the right side. The toy appears to be made of a flexible material, possibly foam or a similar deformable substance. Two robotic arms are positioned below the table, each with black and white components, poised for action. The surface of the toy is smooth and likely to compress easily under pressure.",The robot squeezes the toy with its hands.,"Scene: A white table surface holds a round, beige, soft-looking toy on the right side. The toy appears to be made of a flexible material, possibly foam or a similar deformable substance. Two robotic arms are positioned below the table, each with black and white components, poised for action. The surface of the toy is smooth and likely to compress easily under pressure.
Action: The robot squeezes the toy with its hands.",,
29,029_humanoid_everyday_compress_a_plastic_bag_ep4598.mp4,deformable/compress_a_plastic_bag,029_humanoid_everyday_compress_a_plastic_bag_ep4598_frame191_720p.jpg,"A black plastic bag with a white logo is situated on a light-colored surface. The bag has dimensions that fit within the workspace of the robot arms. Two robotic arms with black and silver components are positioned on either side of the bag. The surface of the bag appears glossy, reflecting light, and the material is thin and flexible.",The robot presses down on the plastic bag from both sides with its hands.,"Scene: A black plastic bag with a white logo is situated on a light-colored surface. The bag has dimensions that fit within the workspace of the robot arms. Two robotic arms with black and silver components are positioned on either side of the bag. The surface of the bag appears glossy, reflecting light, and the material is thin and flexible.
Action: The robot presses down on the plastic bag from both sides with its hands.",,
30,030_unitree_g1dex1_fold_towel_ep0.mp4,Fold the towel and set it aside.,030_unitree_g1dex1_fold_towel_ep0_frame0_720p.jpg,"A rectangular table surface, light beige in color, holds three towels. A green towel lies on the left side, a pink towel is in the center with a teddy bear design, and a blue towel is folded on the right side. The robot's left arm is positioned near the green towel while the right arm is closer to the pink one. The towels appear soft, textured, and dry, indicating absorbent properties.","The robot lifts the pink towel with its right arm, folds it, and sets it aside.","Scene: A rectangular table surface, light beige in color, holds three towels. A green towel lies on the left side, a pink towel is in the center with a teddy bear design, and a blue towel is folded on the right side. The robot's left arm is positioned near the green towel while the right arm is closer to the pink one. The towels appear soft, textured, and dry, indicating absorbent properties.
Action: The robot lifts the pink towel with its right arm, folds it, and sets it aside.",,
31,031_unitree_g1dex1_fold_towel_ep199.mp4,Fold the towel and set it aside.,031_unitree_g1dex1_fold_towel_ep199_frame0_720p.jpg,"A light beige table has three cloth items spread out. The central cloth is pale pink, medium-sized, and lies flat. On the left, a green towel is partially folded and positioned near the robot's left arm. On the right, a beige towel is stacked neatly and located close to the robot's right arm. Both robotic arms, metallic and equipped with gripping mechanisms, are positioned near the towels. The cloths appear textured and absorbent, suitable for manipulation.",The robot lifts the pink cloth and begins folding it.,"Scene: A light beige table has three cloth items spread out. The central cloth is pale pink, medium-sized, and lies flat. On the left, a green towel is partially folded and positioned near the robot's left arm. On the right, a beige towel is stacked neatly and located close to the robot's right arm. Both robotic arms, metallic and equipped with gripping mechanisms, are positioned near the towels. The cloths appear textured and absorbent, suitable for manipulation.
Action: The robot lifts the pink cloth and begins folding it.",,
32,032_gr00t_gr1_fold_cloth_long_ep0.mp4,gr1_unified.fold_cloth_long_robot,032_gr00t_gr1_fold_cloth_long_ep0_frame0_720p.jpg,"A wooden table occupies the center of the area, its surface smooth and dry. A piece of green cloth lies flat on the table, about a foot square, and appears textured and absorbent. Two robotic arms are positioned in front of the table. The left arm hovers over the edge of the cloth, while the right arm is positioned to the side, slightly above the table. Both arms are metallic and jointed, designed for precise manipulation.",The robot pinches the edges of the cloth and begins to fold it in half along its length.,"Scene: A wooden table occupies the center of the area, its surface smooth and dry. A piece of green cloth lies flat on the table, about a foot square, and appears textured and absorbent. Two robotic arms are positioned in front of the table. The left arm hovers over the edge of the cloth, while the right arm is positioned to the side, slightly above the table. Both arms are metallic and jointed, designed for precise manipulation.
Action: The robot pinches the edges of the cloth and begins to fold it in half along its length.",,
33,033_gr00t_gr1_fold_cloth_long_ep257.mp4,gr1_unified.fold_cloth_long_robot,033_gr00t_gr1_fold_cloth_long_ep257_frame0_720p.jpg,"A small table with a light wood grain surface is present in a well-lit room. A grayish-green cloth lies flat, roughly in the center of the table. The cloth is rectangular and appears to be about the size of a hand towel. Two robotic arms are positioned at opposite sides of the table, with their hands hovering above the table surface near the ends of the cloth. The surface of the table is smooth and the cloth looks textured and possibly absorbent.",The robot grips the cloth at two corners and folds it in half lengthwise.,"Scene: A small table with a light wood grain surface is present in a well-lit room. A grayish-green cloth lies flat, roughly in the center of the table. The cloth is rectangular and appears to be about the size of a hand towel. Two robotic arms are positioned at opposite sides of the table, with their hands hovering above the table surface near the ends of the cloth. The surface of the table is smooth and the cloth looks textured and possibly absorbent.
Action: The robot grips the cloth at two corners and folds it in half lengthwise.",,
34,034_gr00t_egodex_crumple_flatten_paper_ep56.mp4,crumple_flatten_paper,034_gr00t_egodex_crumple_flatten_paper_ep56_frame0_720p.jpg,"A wooden table is positioned in front of a white curtain. On the table lies a piece of crumpled white paper. The paper is approximately the size of an A4 sheet. Two robotic arms with metallic surfaces are positioned on either side of the paper, palms facing downwards. The surface of the paper is dry and slightly textured, while the table is smooth.",The robot uses both arms to crumple and then flatten the paper.,"Scene: A wooden table is positioned in front of a white curtain. On the table lies a piece of crumpled white paper. The paper is approximately the size of an A4 sheet. Two robotic arms with metallic surfaces are positioned on either side of the paper, palms facing downwards. The surface of the paper is dry and slightly textured, while the table is smooth.
Action: The robot uses both arms to crumple and then flatten the paper.",,
35,035_gr00t_egodex_braid_unbraid_ep63.mp4,braid_unbraid,035_gr00t_egodex_braid_unbraid_ep63_frame0_720p.jpg,"A light wooden table is in the center of the scene. Three strands of yellow rope, each about 2 feet in length, lie on the table, knotted at the ends. The left robot arm, featuring a black gripper, is positioned near the leftmost strand. The right robot arm, identical in appearance, is positioned near the rightmost strand. The table surface is smooth and dry, providing minimal friction for the ropes.",The robot weaves the strands together and then unravels them.,"Scene: A light wooden table is in the center of the scene. Three strands of yellow rope, each about 2 feet in length, lie on the table, knotted at the ends. The left robot arm, featuring a black gripper, is positioned near the leftmost strand. The right robot arm, identical in appearance, is positioned near the rightmost strand. The table surface is smooth and dry, providing minimal friction for the ropes.
Action: The robot weaves the strands together and then unravels them.",,
36,036_agibot_task362_fold_shorts_ep0.mp4,Fold shorts (laid out on the bed),036_agibot_task362_fold_shorts_ep0_frame0_720p.jpg,"A pair of light-colored shorts is laid out flat on a textured, dark gray fabric surface, resembling a bed. The shorts appear to be made from a soft, fabric material, approximately medium-sized. Two robotic arms are positioned on either side of the shorts. The left robotic arm hovers near the left side of the shorts, while the right arm is near the right side. The fabric seems smooth and structured, which is important for manipulation.",The robot folds each side of the shorts towards the center.,"Scene: A pair of light-colored shorts is laid out flat on a textured, dark gray fabric surface, resembling a bed. The shorts appear to be made from a soft, fabric material, approximately medium-sized. Two robotic arms are positioned on either side of the shorts. The left robotic arm hovers near the left side of the shorts, while the right arm is near the right side. The fabric seems smooth and structured, which is important for manipulation.
Action: The robot folds each side of the shorts towards the center.",,
