id,prompt_id,video_file,task,task_group,frame,observability,hidden_property,hidden_property_value,scene,action,prompt,expected_outcome,failure_signature,observable_scene,removed_cues,scene_similarity,review
7,007_unobs,007_unitree_g1dex1_wipe_table_ep0.mp4,Wipe the water off the table with a rag.,wiping,007_unitree_g1dex1_wipe_table_ep0_frame10_720p.jpg,unobservable,surface_condition,"hydrophobic layer, repels liquid","A table surface occupies most of the scene with a cloth on its right side. The table is smooth and flat, with a noticeable smear of liquid near its center. The robot has two arms, both positioned over the table. The left arm is closer to the center of the table, while the right arm is near the cloth. The table surface is coated with a hydrophobic layer, causing liquid to bead up and resist absorption.",The robot wipes the cloth across the table surface.,"Scene: A table surface occupies most of the scene with a cloth on its right side. The table is smooth and flat, with a noticeable smear of liquid near its center. The robot has two arms, both positioned over the table. The left arm is closer to the center of the table, while the right arm is near the cloth. The table surface is coated with a hydrophobic layer, causing liquid to bead up and resist absorption.
Action: The robot wipes the cloth across the table surface.","The liquid forms beads and rolls off the table as the cloth wipes across, leaving little to no residue.",The liquid is absorbed by the cloth or smeared smoothly across the table despite the hydrophobic property.,"A beige-colored table surface occupies most of the scene with a blue cloth on its right side. The table is smooth and flat, with a noticeable smear of liquid near its center. The robot has two arms, both positioned over the table. The left arm is closer to the center of the table, while the right arm is near the blue cloth. The cloth appears textured and absorbent, and the table surface is partially wet.","absorbent, beige, blue, colored, textured, wet",0.811,
9,009_unobs,009_unitree_g1dex1_wipe_table_ep199.mp4,Wipe the water off the table with a rag.,wiping,009_unitree_g1dex1_wipe_table_ep199_frame0_720p.jpg,unobservable,surface_condition,"hydrophobic coating, repels liquid","A beige table is in front of the robot with visible water droplets scattered across its surface. To the right of the droplets, there is a cloth. The robot has two metallic arms positioned at opposite sides of the table. The left arm hovers near the center while the right arm is positioned close to the cloth. The table's surface is smooth and wet. The surface has been coated with a hydrophobic substance, causing liquid to bead up and resist absorption.",The robot wipes the cloth across the table surface.,"Scene: A beige table is in front of the robot with visible water droplets scattered across its surface. To the right of the droplets, there is a cloth. The robot has two metallic arms positioned at opposite sides of the table. The left arm hovers near the center while the right arm is positioned close to the cloth. The table's surface is smooth and wet. The surface has been coated with a hydrophobic substance, causing liquid to bead up and resist absorption.
Action: The robot wipes the cloth across the table surface.","The cloth glides over the table without absorbing the water, which remains beaded on the surface.",The cloth absorbs the water and clears the table as if the hydrophobic coating were not present.,"A beige table is in front of the robot with visible water droplets scattered across its surface. To the right of the droplets, there is a blue and white cloth that appears thick and absorbent. The robot has two metallic arms positioned at opposite sides of the table. The left arm hovers near the center while the right arm is positioned close to the cloth. The table's surface is smooth and wet, and the cloth looks textured and capable of absorbing liquid.","absorbent, blue, textured, thick, white",0.826,
10,010_unobs,010_unitree_g1dex1_syringe_water_transfer_ep0.mp4,Syringe water transfer,pouring,010_unitree_g1dex1_syringe_water_transfer_ep0_frame0_720p.jpg,unobservable,viscosity,"extremely high viscosity, molasses-like consistency","A wooden table holds several items, including a translucent plastic cup, a large clear syringe, a pair of blue-handled scissors, and a white plastic basket. The cup is positioned near the center of the table, with the syringe lying nearby to its right. Two robotic arms are visible, with one arm on the left side of the table and the other on the right side, positioned near the syringe. The table surface is smooth and dry. The liquid inside the cup is thick and viscous, similar to molasses.",The robot grips the syringe and maneuvers it to draw liquid from the cup.,"Scene: A wooden table holds several items, including a translucent plastic cup, a large clear syringe, a pair of blue-handled scissors, and a white plastic basket. The cup is positioned near the center of the table, with the syringe lying nearby to its right. Two robotic arms are visible, with one arm on the left side of the table and the other on the right side, positioned near the syringe. The table surface is smooth and dry. The liquid inside the cup is thick and viscous, similar to molasses.
Action: The robot grips the syringe and maneuvers it to draw liquid from the cup.","The syringe plunger moves very slowly, struggling to draw the liquid, which rises only slightly into the barrel.","Liquid draws into syringe as easily and quickly as water, despite stated high viscosity.","A wooden table holds several items, including a translucent plastic cup filled with red liquid, a large clear syringe, a pair of blue-handled scissors, and a white plastic basket. The cup is positioned near the center of the table, with the syringe lying nearby to its right. Two robotic arms are visible, with one arm on the left side of the table and the other on the right side, positioned near the syringe. The table surface is smooth and dry.",red,0.902,
11,011_unobs,011_unitree_g1dex1_syringe_water_transfer_ep516.mp4,Syringe water transfer,pouring,011_unitree_g1dex1_syringe_water_transfer_ep516_frame0_720p.jpg,unobservable,viscosity,"high viscosity, honey-like consistency","A white tabletop holds two transparent plastic containers, each partially filled with liquid. A syringe with a plunger lies nearby, alongside some plastic and paper packaging. To the left, a robot arm equipped with a black gripper hovers near the containers, while another arm with a similar gripper is positioned near the syringe on the right. The liquid is thick and viscous, similar to honey.",The robot places the syringe into one of the containers and draws liquid into the syringe.,"Scene: A white tabletop holds two transparent plastic containers, each partially filled with liquid. A syringe with a plunger lies nearby, alongside some plastic and paper packaging. To the left, a robot arm equipped with a black gripper hovers near the containers, while another arm with a similar gripper is positioned near the syringe on the right. The liquid is thick and viscous, similar to honey.
Action: The robot places the syringe into one of the containers and draws liquid into the syringe.","The syringe plunger moves back very slowly, and fluid rises incompletely into the barrel.",Fluid draws into syringe as freely as water despite stated high viscosity.,"A white tabletop holds two transparent plastic containers, each partially filled with red liquid. A syringe with an orange plunger lies nearby, alongside some plastic and paper packaging. To the left, a robot arm equipped with a black gripper hovers near the containers, while another arm with a similar gripper is positioned near the syringe on the right. The containers are smooth and the liquid is likely water with food coloring.","orange, red, smooth",0.889,
12,012_unobs,012_unitree_g1dex1_syringe_water_transfer_ep1033.mp4,Syringe water transfer,pouring,012_unitree_g1dex1_syringe_water_transfer_ep1033_frame0_720p.jpg,unobservable,viscosity,"high viscosity, honey-like consistency","A white table holds a clear plastic cup, approximately halfway full, positioned near the center. The cup contains a highly viscous fluid, similar in consistency to honey, which will strongly resist being drawn into the syringe. A large, transparent syringe is placed to the right of the cup on the table. A brown paper bag and a small potted plant are situated in the background near the window. Two robotic arms are positioned on either side of the table; the left arm is adjacent to the cup, while the right arm is near the syringe.",The robot uses a syringe to draw water from the plastic cup.,"Scene: A white table holds a clear plastic cup, approximately halfway full, positioned near the center. The cup contains a highly viscous fluid, similar in consistency to honey, which will strongly resist being drawn into the syringe. A large, transparent syringe is placed to the right of the cup on the table. A brown paper bag and a small potted plant are situated in the background near the window. Two robotic arms are positioned on either side of the table; the left arm is adjacent to the cup, while the right arm is near the syringe.
Action: The robot uses a syringe to draw water from the plastic cup.",The syringe plunger moves back very slowly and fluid rises incompletely into the barrel.,Fluid draws into syringe as freely as water despite stated high viscosity.,"A white table holds a clear plastic cup filled with red liquid, approximately halfway full, positioned near the center. A large, transparent syringe is placed to the right of the cup on the table. A brown paper bag and a small potted plant are situated in the background near the window. Two robotic arms are positioned on either side of the table; the left arm is adjacent to the cup, while the right arm is near the syringe. The syringes and the surfaces appear dry and smooth, suitable for handling liquids.","dry, red, smooth",0.772,
16,016_unobs,016_ai2_alphabot_2_pour_water_ep0.mp4,Grasp the thermos with one hand and pour water into the cup lid.,pouring,016_ai2_alphabot_2_pour_water_ep0_frame0_720p.jpg,unobservable,viscosity,"high viscosity, honey-like consistency","A thermos is positioned vertically on a flat, white surface. To the left of the thermos sits a cup lid, approximately half the height of the thermos. Two robotic arms are situated on either side of these objects, with the left arm closer to the cup lid and the right arm near the thermos. The thermos contains a liquid that is thick and viscous, similar to honey.","The robot grasps the thermos with one hand, lifts it, and tips it over the cup lid.","Scene: A thermos is positioned vertically on a flat, white surface. To the left of the thermos sits a cup lid, approximately half the height of the thermos. Two robotic arms are situated on either side of these objects, with the left arm closer to the cup lid and the right arm near the thermos. The thermos contains a liquid that is thick and viscous, similar to honey.
Action: The robot grasps the thermos with one hand, lifts it, and tips it over the cup lid.","The liquid pours out slowly and with difficulty, forming thick droplets into the cup lid.","Liquid pours freely and quickly as if it were water, despite the high viscosity.","A white thermos is positioned vertically on a flat, white surface. To the left of the thermos sits a pink cup lid, approximately half the height of the thermos. Two robotic arms are situated on either side of these objects, with the left arm closer to the cup lid and the right arm near the thermos. The thermos has a smooth, dry surface, and the cup lid is empty.","dry, empty, pink, smooth",0.886,
19,019_unobs,019_agibot_task410_water_pouring_ep0.mp4,Water Pouring in Restaurant - teapot with colored tea into an empty cup,pouring,019_agibot_task410_water_pouring_ep0_frame0_720p.jpg,unobservable,viscosity,"high viscosity, molasses-like consistency","A rectangular wooden table holds a clear glass teapot and an empty glass cup. The teapot has a metal lid and a textured surface pattern. The glass cup is cylindrical and positioned in front of the teapot. Two robotic arms, one on each side of the cup, are poised near the objects. The surface of the table is smooth and dry. The liquid in the teapot is thick and viscous, similar to molasses.","The robot lifts the teapot, angles it over the cup, and begins pouring.","Scene: A rectangular wooden table holds a clear glass teapot and an empty glass cup. The teapot has a metal lid and a textured surface pattern. The glass cup is cylindrical and positioned in front of the teapot. Two robotic arms, one on each side of the cup, are poised near the objects. The surface of the table is smooth and dry. The liquid in the teapot is thick and viscous, similar to molasses.
Action: The robot lifts the teapot, angles it over the cup, and begins pouring.","The liquid pours very slowly and thickly into the cup, forming a viscous stream.",The liquid flows into the cup as quickly and smoothly as water despite stated high viscosity.,"A rectangular wooden table holds a clear glass teapot and an empty glass cup. The teapot, filled with a dark liquid, has a metal lid and a textured surface pattern. The glass cup is cylindrical and positioned in front of the teapot. Two robotic arms, one on each side of the cup, are poised near the objects. The surface of the table is smooth and dry, and the teapot is full.","dark, full",0.896,
22,022_unobs,022_aloha_mobile_wipe_wine_ep0.mp4,Pick up the wet cloth and clean the spilled wine on the table.,wiping,022_aloha_mobile_wipe_wine_ep0_frame1190_720p.jpg,unobservable,surface_condition,"silicone-coated, repels liquid","A white countertop is situated at waist height. On the counter, a tall wine glass occupies the left side, next to a metallic mug and two polka-dotted plates. Several pieces of paper rest nearby. Two robotic arms are positioned over the table, one holding a cloth. The surface has been coated with silicone, causing liquid to bead up and resist absorption.",The robot wipes the cloth across the surface of the table.,"Scene: A white countertop is situated at waist height. On the counter, a tall wine glass occupies the left side, next to a metallic mug and two polka-dotted plates. Several pieces of paper rest nearby. Two robotic arms are positioned over the table, one holding a cloth. The surface has been coated with silicone, causing liquid to bead up and resist absorption.
Action: The robot wipes the cloth across the surface of the table.","The wine beads up on the surface and does not soak into the cloth, leaving the table mostly dry.",The wine spreads and soaks into the cloth as if the surface is not treated.,"A white countertop is situated at waist height. On the counter, a tall wine glass with a reddish liquid occupies the left side, next to a metallic mug and two polka-dotted plates. Several pieces of paper rest nearby. Two robotic arms are positioned over the table, one holding a patterned cloth. The cloth appears textured and absorbent, and the table surface is smooth.","absorbent, smooth, textured",0.781,
25,025_unobs,025_humanoid_everyday_fold_towel_ep4838.mp4,deformable/fold_towel,deformable,025_humanoid_everyday_fold_towel_ep4838_frame124_720p.jpg,unobservable,elasticity,"extremely stiff, resists bending","A rectangular white table holds a medium-sized towel with a grid pattern. The towel is laid out flat in the center of the table. A robotic gripper, made of black metal and equipped with multiple fingers, is positioned to the left of the towel, slightly above the table surface. The towel is extremely stiff and resists bending easily.",The robot grips the edges of the towel and performs a folding motion.,"Scene: A rectangular white table holds a medium-sized towel with a grid pattern. The towel is laid out flat in the center of the table. A robotic gripper, made of black metal and equipped with multiple fingers, is positioned to the left of the towel, slightly above the table surface. The towel is extremely stiff and resists bending easily.
Action: The robot grips the edges of the towel and performs a folding motion.",The towel creases slightly without forming neat folds and retains much of its original shape after the attempt to fold.,The towel folds neatly and retains the folded shape as expected from a typical towel.,"A rectangular white table holds a medium-sized, light-colored towel with a black grid pattern. The towel is laid out flat in the center of the table. A robotic gripper, made of black metal and equipped with multiple fingers, is positioned to the left of the towel, slightly above the table surface. The table and towel are dry, with the towel appearing to be absorbent and textured.","absorbent, colored, dry, light, textured",0.844,
27,027_unobs,027_humanoid_everyday_squeeze_a_ball_ep5118.mp4,deformable/squeeze_a_ball,deformable,027_humanoid_everyday_squeeze_a_ball_ep5118_frame0_720p.jpg,unobservable,elasticity,"filled with dense gel, resists compression","A foam ball sits on a white tabletop. To the right of the ball is a black rectangular object, possibly a tray or mat. The table surface appears smooth and dry, with a transparent sheet covering part of it on the left. Two robotic arms are positioned below and slightly to the front of the tabletop, with one closer to the foam ball. The ball is filled with dense gel rather than air and strongly resists compression.",The robot squeezes the foam ball with one of its hands.,"Scene: A foam ball sits on a white tabletop. To the right of the ball is a black rectangular object, possibly a tray or mat. The table surface appears smooth and dry, with a transparent sheet covering part of it on the left. Two robotic arms are positioned below and slightly to the front of the tabletop, with one closer to the foam ball. The ball is filled with dense gel rather than air and strongly resists compression.
Action: The robot squeezes the foam ball with one of its hands.","The robot hand presses down on the ball with visible effort, barely compressing it.",The ball easily deforms and compresses as if filled with air despite the dense gel.,"A yellow and red foam ball sits on a white tabletop. To the right of the ball is a black rectangular object, possibly a tray or mat. The table surface appears smooth and dry, with a transparent sheet covering part of it on the left. Two robotic arms are positioned below and slightly to the front of the tabletop, with one closer to the foam ball. The foam ball's squeezable texture is important for the upcoming action.","red, yellow",0.864,
